irr-C8-1	1 x (irr-C2-1,irr-C6-1)
irr-C8-16-q	1 x (irr-C2-4-q,irr-C6-1) + 1 x (irr-C2-1,irr-C6-12-q)
irr-C8-119	1 x (irr-C2-1,irr-C6-1) + 1 x (irr-C2-5,irr-C6-1) + 1 x (irr-C2-4-q,irr-C6-12-q) + 1 x (irr-C2-1,irr-C6-65)
irr-C8-136	1 x (irr-C2-10,irr-C6-1) + 1 x (irr-C2-4-q,irr-C6-12-q) + 1 x (irr-C2-1,irr-C6-78)
