irr-C8-1	1 x (irr-A7-1)
irr-C8-16-q	2 x (irr-A7-8)
irr-C8-119	2 x (irr-A7-28) + 1 x (irr-A7-63)
irr-C8-136	1 x (irr-A7-1) + 2 x (irr-A7-36) + 1 x (irr-A7-63)
