irr-C8-1	1 x (irr-A1-1,irr-D4-1)
irr-C8-16-q	1 x (irr-A1-2-q,irr-D4-8a)
irr-C8-119	1 x (irr-A1-3,irr-D4-28) + 1 x (irr-A1-1,irr-D4-35a)
irr-C8-136	1 x (irr-A1-3,irr-D4-1) + 1 x (irr-A1-3,irr-D4-35a) + 1 x (irr-A1-1,irr-D4-28)
