irr-B9-1	1 x (irr-B4-1,irr-D5-1)
irr-B9-19	1 x (irr-B4-9,irr-D5-1) + 1 x (irr-B4-1,irr-D5-10)
irr-B9-171	1 x (irr-B4-36,irr-D5-1) + 1 x (irr-B4-9,irr-D5-10) + 1 x (irr-B4-1,irr-D5-45)
irr-B9-189	1 x (irr-B4-1,irr-D5-1) + 1 x (irr-B4-9,irr-D5-10) + 1 x (irr-B4-44,irr-D5-1) + 1 x (irr-B4-1,irr-D5-54)
