irr-B9-1	1 x (irr-B8-1)
irr-B9-19	2 x (irr-B8-1) + 1 x (irr-B8-17)
irr-B9-171	1 x (irr-B8-1) + 2 x (irr-B8-17) + 1 x (irr-B8-136)
irr-B9-189	3 x (irr-B8-1) + 2 x (irr-B8-17) + 1 x (irr-B8-152)
