irr-B9-1	1 x (irr-A3-1,irr-B6-1)
irr-B9-19	1 x (irr-A3-6,irr-B6-1) + 1 x (irr-A3-1,irr-B6-13)
irr-B9-171	1 x (irr-A3-15,irr-B6-1) + 1 x (irr-A3-6,irr-B6-13) + 1 x (irr-A3-1,irr-B6-78)
irr-B9-189	1 x (irr-A3-1,irr-B6-1) + 1 x (irr-A3-6,irr-B6-13) + 1 x (irr-A3-20b,irr-B6-1) + 1 x (irr-A3-1,irr-B6-90)
