irr-B9-1	1 x (irr-A1-1,irr-D8-1)
irr-B9-19	1 x (irr-A1-3,irr-D8-1) + 1 x (irr-A1-1,irr-D8-16)
irr-B9-171	1 x (irr-A1-3,irr-D8-1) + 1 x (irr-A1-3,irr-D8-16) + 1 x (irr-A1-1,irr-D8-120)
irr-B9-189	1 x (irr-A1-1,irr-D8-1) + 1 x (irr-A1-5,irr-D8-1) + 1 x (irr-A1-3,irr-D8-16) + 1 x (irr-A1-1,irr-D8-135)
