irr-B9-1	1 x (irr-A1-1,irr-A1-1,irr-B7-1)
irr-B9-19	1 x (irr-A1-2-q,irr-A1-2-q,irr-B7-1) + 1 x (irr-A1-1,irr-A1-1,irr-B7-15)
irr-B9-171	1 x (irr-A1-3,irr-A1-1,irr-B7-1) + 1 x (irr-A1-1,irr-A1-3,irr-B7-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B7-15) + 1 x (irr-A1-1,irr-A1-1,irr-B7-105)
irr-B9-189	1 x (irr-A1-1,irr-A1-1,irr-B7-1) + 1 x (irr-A1-3,irr-A1-3,irr-B7-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B7-15) + 1 x (irr-A1-1,irr-A1-1,irr-B7-119)
