irr-B9-1	1 x (irr-B3-1,irr-D6-1)
irr-B9-19	1 x (irr-B3-7,irr-D6-1) + 1 x (irr-B3-1,irr-D6-12)
irr-B9-171	1 x (irr-B3-21,irr-D6-1) + 1 x (irr-B3-7,irr-D6-12) + 1 x (irr-B3-1,irr-D6-66)
irr-B9-189	1 x (irr-B3-1,irr-D6-1) + 1 x (irr-B3-7,irr-D6-12) + 1 x (irr-B3-27,irr-D6-1) + 1 x (irr-B3-1,irr-D6-77)
