irr-B9-1	1 x (irr-C2-1,irr-D7-1)
irr-B9-19	1 x (irr-C2-5,irr-D7-1) + 1 x (irr-C2-1,irr-D7-14)
irr-B9-171	1 x (irr-C2-10,irr-D7-1) + 1 x (irr-C2-5,irr-D7-14) + 1 x (irr-C2-1,irr-D7-91)
irr-B9-189	1 x (irr-C2-1,irr-D7-1) + 1 x (irr-C2-14,irr-D7-1) + 1 x (irr-C2-5,irr-D7-14) + 1 x (irr-C2-1,irr-D7-104)
