irr-E7-1	1 x (irr-A1-1)
irr-E7-56-q	1 x (irr-A1-10-q) + 1 x (irr-A1-18-q) + 1 x (irr-A1-28-q)
irr-E7-133	1 x (irr-A1-3) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-19) + 1 x (irr-A1-23) + 1 x (irr-A1-27) + 1 x (irr-A1-35)
