irr-E7-1	1 x (irr-A2-1,irr-A5-1)
irr-E7-56-q	2 x (irr-A2-3,irr-A5-6) + 1 x (irr-A2-1,irr-A5-20-q)
irr-E7-133	1 x (irr-A2-8,irr-A5-1) + 2 x (irr-A2-3,irr-A5-15) + 1 x (irr-A2-1,irr-A5-35)
