irr-E7-1	1 x (irr-E6-1)
irr-E7-56-q	2 x (irr-E6-1) + 2 x (irr-E6-27)
irr-E7-133	1 x (irr-E6-1) + 2 x (irr-E6-27) + 1 x (irr-E6-78)
