irr-E7-1	1 x (irr-A1-1)
irr-E7-56-q	1 x (irr-A1-6-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-16-q) + 1 x (irr-A1-22-q)
irr-E7-133	1 x (irr-A1-3) + 1 x (irr-A1-7) + 2 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-17) + 1 x (irr-A1-19) + 1 x (irr-A1-23) + 1 x (irr-A1-27)
