irr-E7-1	1 x (irr-C3-1,irr-G2-1)
irr-E7-56-q	1 x (irr-C3-14b-q,irr-G2-1) + 1 x (irr-C3-6-q,irr-G2-7)
irr-E7-133	1 x (irr-C3-21,irr-G2-1) + 1 x (irr-C3-14a,irr-G2-7) + 1 x (irr-C3-1,irr-G2-14)
