irr-E7-1	1 x (irr-A1-1,irr-G2-1)
irr-E7-56-q	1 x (irr-A1-4-q,irr-G2-7) + 1 x (irr-A1-2-q,irr-G2-14)
irr-E7-133	1 x (irr-A1-3,irr-G2-1) + 1 x (irr-A1-5,irr-G2-7) + 1 x (irr-A1-1,irr-G2-14) + 1 x (irr-A1-3,irr-G2-27)
