irr-E7-1	1 x (irr-A1-1,irr-F4-1)
irr-E7-56-q	1 x (irr-A1-4-q,irr-F4-1) + 1 x (irr-A1-2-q,irr-F4-26)
irr-E7-133	1 x (irr-A1-3,irr-F4-1) + 1 x (irr-A1-3,irr-F4-26) + 1 x (irr-A1-1,irr-F4-52)
