irr-E7-1	1 x (irr-A1-1,irr-A1-1)
irr-E7-56-q	1 x (irr-A1-5,irr-A1-2-q) + 1 x (irr-A1-3,irr-A1-6-q) + 1 x (irr-A1-7,irr-A1-4-q)
irr-E7-133	1 x (irr-A1-3,irr-A1-1) + 1 x (irr-A1-1,irr-A1-3) + 1 x (irr-A1-5,irr-A1-3) + 1 x (irr-A1-3,irr-A1-5) + 1 x (irr-A1-7,irr-A1-5) + 1 x (irr-A1-5,irr-A1-7) + 1 x (irr-A1-9,irr-A1-3)
