irr-E7-1	1 x (irr-A1-1,irr-D6-1)
irr-E7-56-q	1 x (irr-A1-2-q,irr-D6-12) + 1 x (irr-A1-1,irr-D6-32-q)
irr-E7-133	1 x (irr-A1-3,irr-D6-1) + 1 x (irr-A1-2-q,irr-D6-32-q) + 1 x (irr-A1-1,irr-D6-66)
