irr-A27-1	1 x (irr-A1-1,irr-A25-1)
irr-A27-28	1 x (irr-A1-2-q,irr-A25-1) + 1 x (irr-A1-1,irr-A25-26)
irr-A27-378	1 x (irr-A1-1,irr-A25-1) + 1 x (irr-A1-2-q,irr-A25-26) + 1 x (irr-A1-1,irr-A25-325)
irr-A27-406	1 x (irr-A1-3,irr-A25-1) + 1 x (irr-A1-2-q,irr-A25-26) + 1 x (irr-A1-1,irr-A25-351)
irr-A27-783	1 x (irr-A1-1,irr-A25-1) + 1 x (irr-A1-3,irr-A25-1) + 2 x (irr-A1-2-q,irr-A25-26) + 1 x (irr-A1-1,irr-A25-675)
