irr-A27-1	1 x (irr-A26-1)
irr-A27-28	1 x (irr-A26-1) + 1 x (irr-A26-27)
irr-A27-378	1 x (irr-A26-27) + 1 x (irr-A26-351)
irr-A27-406	1 x (irr-A26-1) + 1 x (irr-A26-27) + 1 x (irr-A26-378)
irr-A27-783	1 x (irr-A26-1) + 2 x (irr-A26-27) + 1 x (irr-A26-728)
