irr-A27-1	1 x (irr-A7-1)
irr-A27-28	1 x (irr-A7-28)
irr-A27-378	1 x (irr-A7-378)
irr-A27-406	1 x (irr-A7-70) + 1 x (irr-A7-336)
irr-A27-783	1 x (irr-A7-63) + 1 x (irr-A7-720)
