irr-A27-1	1 x (irr-A6-1)
irr-A27-28	1 x (irr-A6-28)
irr-A27-378	1 x (irr-A6-378)
irr-A27-406	1 x (irr-A6-196) + 1 x (irr-A6-210b)
irr-A27-783	1 x (irr-A6-48) + 1 x (irr-A6-735b)
