irr-A27-1	1 x (irr-C14-1)
irr-A27-28	1 x (irr-C14-28-q)
irr-A27-378	1 x (irr-C14-1) + 1 x (irr-C14-377)
irr-A27-406	1 x (irr-C14-406)
irr-A27-783	1 x (irr-C14-377) + 1 x (irr-C14-406)
