irr-A27-1	1 x (irr-A5-1,irr-A21-1)
irr-A27-28	1 x (irr-A5-6,irr-A21-1) + 1 x (irr-A5-1,irr-A21-22)
irr-A27-378	1 x (irr-A5-15,irr-A21-1) + 1 x (irr-A5-6,irr-A21-22) + 1 x (irr-A5-1,irr-A21-231)
irr-A27-406	1 x (irr-A5-21,irr-A21-1) + 1 x (irr-A5-6,irr-A21-22) + 1 x (irr-A5-1,irr-A21-253)
irr-A27-783	1 x (irr-A5-1,irr-A21-1) + 1 x (irr-A5-35,irr-A21-1) + 2 x (irr-A5-6,irr-A21-22) + 1 x (irr-A5-1,irr-A21-483)
