irr-A22-1	1 x (irr-B11-1)
irr-A22-23	1 x (irr-B11-23)
irr-A22-253	1 x (irr-B11-253)
irr-A22-276	1 x (irr-B11-1) + 1 x (irr-B11-275)
irr-A22-528	1 x (irr-B11-253) + 1 x (irr-B11-275)
