irr-D9-1	1 x (irr-C2-1,irr-B6-1)
irr-D9-18	1 x (irr-C2-5,irr-B6-1) + 1 x (irr-C2-1,irr-B6-13)
irr-D9-153	1 x (irr-C2-10,irr-B6-1) + 1 x (irr-C2-5,irr-B6-13) + 1 x (irr-C2-1,irr-B6-78)
irr-D9-170	1 x (irr-C2-1,irr-B6-1) + 1 x (irr-C2-14,irr-B6-1) + 1 x (irr-C2-5,irr-B6-13) + 1 x (irr-C2-1,irr-B6-90)
irr-D9-256	1 x (irr-C2-4-q,irr-B6-64-q)
