irr-D9-1	1 x (irr-B3-1,irr-B5-1)
irr-D9-18	1 x (irr-B3-7,irr-B5-1) + 1 x (irr-B3-1,irr-B5-11)
irr-D9-153	1 x (irr-B3-7,irr-B5-11) + 1 x (irr-B3-21,irr-B5-1) + 1 x (irr-B3-1,irr-B5-55)
irr-D9-170	1 x (irr-B3-1,irr-B5-1) + 1 x (irr-B3-7,irr-B5-11) + 1 x (irr-B3-27,irr-B5-1) + 1 x (irr-B3-1,irr-B5-65)
irr-D9-256	1 x (irr-B3-8,irr-B5-32-q)
