irr-D9-1	1 x (irr-D8-1)
irr-D9-18	2 x (irr-D8-1) + 1 x (irr-D8-16)
irr-D9-153	1 x (irr-D8-1) + 2 x (irr-D8-16) + 1 x (irr-D8-120)
irr-D9-170	3 x (irr-D8-1) + 2 x (irr-D8-16) + 1 x (irr-D8-135)
irr-D9-256	2 x (irr-D8-128)
