irr-D9-1	1 x (irr-A1-1,irr-A1-1,irr-D7-1)
irr-D9-18	1 x (irr-A1-2-q,irr-A1-2-q,irr-D7-1) + 1 x (irr-A1-1,irr-A1-1,irr-D7-14)
irr-D9-153	1 x (irr-A1-3,irr-A1-1,irr-D7-1) + 1 x (irr-A1-1,irr-A1-3,irr-D7-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D7-14) + 1 x (irr-A1-1,irr-A1-1,irr-D7-91)
irr-D9-170	1 x (irr-A1-1,irr-A1-1,irr-D7-1) + 1 x (irr-A1-3,irr-A1-3,irr-D7-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D7-14) + 1 x (irr-A1-1,irr-A1-1,irr-D7-104)
irr-D9-256	1 x (irr-A1-2-q,irr-A1-1,irr-D7-64) + 1 x (irr-A1-1,irr-A1-2-q,irr-D7-64)
