irr-D9-1	1 x (irr-B4-1,irr-B4-1)
irr-D9-18	1 x (irr-B4-9,irr-B4-1) + 1 x (irr-B4-1,irr-B4-9)
irr-D9-153	1 x (irr-B4-9,irr-B4-9) + 1 x (irr-B4-36,irr-B4-1) + 1 x (irr-B4-1,irr-B4-36)
irr-D9-170	1 x (irr-B4-1,irr-B4-1) + 1 x (irr-B4-9,irr-B4-9) + 1 x (irr-B4-44,irr-B4-1) + 1 x (irr-B4-1,irr-B4-44)
irr-D9-256	1 x (irr-B4-16,irr-B4-16)
