irr-D9-1	1 x (irr-B8-1)
irr-D9-18	1 x (irr-B8-1) + 1 x (irr-B8-17)
irr-D9-153	1 x (irr-B8-17) + 1 x (irr-B8-136)
irr-D9-170	1 x (irr-B8-1) + 1 x (irr-B8-17) + 1 x (irr-B8-152)
irr-D9-256	1 x (irr-B8-256)
