irr-D9-1	1 x (irr-D4-1,irr-D5-1)
irr-D9-18	1 x (irr-D4-8a,irr-D5-1) + 1 x (irr-D4-1,irr-D5-10)
irr-D9-153	1 x (irr-D4-8a,irr-D5-10) + 1 x (irr-D4-28,irr-D5-1) + 1 x (irr-D4-1,irr-D5-45)
irr-D9-170	1 x (irr-D4-1,irr-D5-1) + 1 x (irr-D4-8a,irr-D5-10) + 1 x (irr-D4-35a,irr-D5-1) + 1 x (irr-D4-1,irr-D5-54)
irr-D9-256	2 x (irr-D4-8b,irr-D5-16)
