irr-D9-1	1 x (irr-A1-1,irr-B7-1)
irr-D9-18	1 x (irr-A1-3,irr-B7-1) + 1 x (irr-A1-1,irr-B7-15)
irr-D9-153	1 x (irr-A1-3,irr-B7-1) + 1 x (irr-A1-3,irr-B7-15) + 1 x (irr-A1-1,irr-B7-105)
irr-D9-170	1 x (irr-A1-1,irr-B7-1) + 1 x (irr-A1-5,irr-B7-1) + 1 x (irr-A1-3,irr-B7-15) + 1 x (irr-A1-1,irr-B7-119)
irr-D9-256	1 x (irr-A1-2-q,irr-B7-128)
