irr-D9-1	1 x (irr-A8-1)
irr-D9-18	2 x (irr-A8-9)
irr-D9-153	1 x (irr-A8-1) + 2 x (irr-A8-36) + 1 x (irr-A8-80)
irr-D9-170	2 x (irr-A8-45) + 1 x (irr-A8-80)
irr-D9-256	1 x (irr-A8-1) + 1 x (irr-A8-9) + 1 x (irr-A8-36) + 1 x (irr-A8-84) + 1 x (irr-A8-126)
