irr-D6-1	1 x (irr-A5-1)
irr-D6-12	2 x (irr-A5-6)
irr-D6-32-q	2 x (irr-A5-6) + 1 x (irr-A5-20-q)
irr-D6-66	1 x (irr-A5-1) + 2 x (irr-A5-15) + 1 x (irr-A5-35)
irr-D6-77	2 x (irr-A5-21) + 1 x (irr-A5-35)
irr-D6-352a-q	4 x (irr-A5-6) + 1 x (irr-A5-20-q) + 2 x (irr-A5-70) + 2 x (irr-A5-84)
