irr-D6-1	1 x (irr-B5-1)
irr-D6-12	1 x (irr-B5-1) + 1 x (irr-B5-11)
irr-D6-32-q	1 x (irr-B5-32-q)
irr-D6-66	1 x (irr-B5-11) + 1 x (irr-B5-55)
irr-D6-77	1 x (irr-B5-1) + 1 x (irr-B5-11) + 1 x (irr-B5-65)
irr-D6-352a-q	1 x (irr-B5-32-q) + 1 x (irr-B5-320-q)
