irr-D6-1	1 x (irr-A1-1,irr-A1-1,irr-D4-1)
irr-D6-12	1 x (irr-A1-2-q,irr-A1-2-q,irr-D4-1) + 1 x (irr-A1-1,irr-A1-1,irr-D4-8a)
irr-D6-32-q	1 x (irr-A1-2-q,irr-A1-1,irr-D4-8b) + 1 x (irr-A1-1,irr-A1-2-q,irr-D4-8b)
irr-D6-66	1 x (irr-A1-3,irr-A1-1,irr-D4-1) + 1 x (irr-A1-1,irr-A1-3,irr-D4-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D4-8a) + 1 x (irr-A1-1,irr-A1-1,irr-D4-28)
irr-D6-77	1 x (irr-A1-1,irr-A1-1,irr-D4-1) + 1 x (irr-A1-3,irr-A1-3,irr-D4-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-D4-8a) + 1 x (irr-A1-1,irr-A1-1,irr-D4-35a)
irr-D6-352a-q	1 x (irr-A1-2-q,irr-A1-1,irr-D4-8b) + 1 x (irr-A1-1,irr-A1-2-q,irr-D4-8b) + 1 x (irr-A1-2-q,irr-A1-3,irr-D4-8b) + 1 x (irr-A1-3,irr-A1-2-q,irr-D4-8b) + 1 x (irr-A1-2-q,irr-A1-1,irr-D4-56b) + 1 x (irr-A1-1,irr-A1-2-q,irr-D4-56b)
