irr-D6-1	1 x (irr-A3-1,irr-A3-1)
irr-D6-12	1 x (irr-A3-6,irr-A3-1) + 1 x (irr-A3-1,irr-A3-6)
irr-D6-32-q	2 x (irr-A3-4,irr-A3-4)
irr-D6-66	1 x (irr-A3-6,irr-A3-6) + 1 x (irr-A3-15,irr-A3-1) + 1 x (irr-A3-1,irr-A3-15)
irr-D6-77	1 x (irr-A3-1,irr-A3-1) + 1 x (irr-A3-6,irr-A3-6) + 1 x (irr-A3-20b,irr-A3-1) + 1 x (irr-A3-1,irr-A3-20b)
irr-D6-352a-q	2 x (irr-A3-4,irr-A3-4) + 2 x (irr-A3-4,irr-A3-20a) + 2 x (irr-A3-20a,irr-A3-4)
