irr-D6-1	1 x (irr-A1-1,irr-C3-1)
irr-D6-12	1 x (irr-A1-2-q,irr-C3-6-q)
irr-D6-32-q	1 x (irr-A1-3,irr-C3-6-q) + 1 x (irr-A1-1,irr-C3-14b-q)
irr-D6-66	1 x (irr-A1-3,irr-C3-1) + 1 x (irr-A1-3,irr-C3-14a) + 1 x (irr-A1-1,irr-C3-21)
irr-D6-77	1 x (irr-A1-1,irr-C3-14a) + 1 x (irr-A1-3,irr-C3-21)
irr-D6-352a-q	1 x (irr-A1-1,irr-C3-6-q) + 1 x (irr-A1-3,irr-C3-6-q) + 1 x (irr-A1-5,irr-C3-6-q) + 1 x (irr-A1-3,irr-C3-14b-q) + 1 x (irr-A1-1,irr-C3-64-q) + 1 x (irr-A1-3,irr-C3-64-q)
