irr-A7-1	1 x (irr-D4-1)
irr-A7-8	1 x (irr-D4-8a)
irr-A7-28	1 x (irr-D4-28)
irr-A7-36	1 x (irr-D4-1) + 1 x (irr-D4-35a)
irr-A7-56	1 x (irr-D4-56a)
irr-A7-63	1 x (irr-D4-28) + 1 x (irr-D4-35a)
irr-A7-70	2 x (irr-D4-35b)
irr-A7-336	1 x (irr-D4-1) + 1 x (irr-D4-35a) + 1 x (irr-D4-300)
