irr-A7-1	1 x (irr-C4-1)
irr-A7-8	1 x (irr-C4-8-q)
irr-A7-28	1 x (irr-C4-1) + 1 x (irr-C4-27)
irr-A7-36	1 x (irr-C4-36)
irr-A7-56	1 x (irr-C4-8-q) + 1 x (irr-C4-48-q)
irr-A7-63	1 x (irr-C4-27) + 1 x (irr-C4-36)
irr-A7-70	1 x (irr-C4-1) + 1 x (irr-C4-27) + 1 x (irr-C4-42)
irr-A7-336	1 x (irr-C4-1) + 1 x (irr-C4-27) + 1 x (irr-C4-308)
